employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
15592,Sandra Edwards,Operations,low,340000,0,0.74,0.6,4,130,4,2021-10-22,,1,0,2025-05-10 11:45:45
4278,Victor Massey,Sales,high,285000,0,0.75,0.52,3,143,2,2023-05-29,,0,0,2025-05-10 11:45:45
98196,Jennifer Allen,Sales,medium,247000,0,0.74,0.54,2,136,2,2023-02-03,,0,0,2025-05-10 11:45:45
37048,Lauren Cox,Engineering,low,400000,0,0.08,0.21,5,260,0,2025-05-28,,0,0,2025-05-10 11:45:45
33098,Sarah Farrell,Operations,medium,289000,0,0.94,0.6,6,228,7,2018-07-31,,0,0,2025-05-10 11:45:45
30256,William Price,Engineering,high,495000,0,0.7,0.88,2,129,3,2022-06-12,,0,0,2025-05-10 11:45:45
19289,Briana Gutierrez,Engineering,low,406000,0,0.93,0.03,2,181,2,2023-08-11,,0,0,2025-05-10 11:45:45
97530,Ethan Sanchez,Engineering,medium,227000,0,0.52,0.95,4,129,0,2025-07-12,,0,0,2025-05-10 11:45:45
14434,Alice Brown,Sales,high,462000,0,0.75,0.81,3,148,5,2019-12-19,,0,0,2025-05-10 11:45:45
89696,Kimberly Key,Marketing,low,195000,0,0.51,0.8,2,144,2,2023-04-02,,0,0,2025-05-10 11:45:45
98080,Anna Ramirez,Engineering,low,465000,0,0.78,0.57,3,124,3,2022-03-13,,0,0,2025-05-10 11:45:45
72482,Sherry Casey,Engineering,high,406000,0,0.69,0.94,4,133,4,2021-01-29,,0,0,2025-05-10 11:45:45
12395,Michael Lee,Legal,medium,476000,1,0.21,0.56,5,264,2,2022-03-10,2024-02-04,0,0,2025-05-10 11:45:45
78397,Arthur Durham,Legal,low,227000,0,0.58,0.54,4,126,2,2023-10-04,,0,0,2025-05-10 11:45:45
56302,Brian James,Marketing,low,335000,0,0.84,0.55,4,120,7,2018-01-16,,0,1,2025-05-10 11:45:45
5165,Joshua Smith,Marketing,medium,334000,0,0.83,0.95,4,148,2,2023-07-16,,0,0,2025-05-10 11:45:45
4905,Emily Buckley,Marketing,low,327000,0,0.8,0.32,5,237,2,2023-02-05,,1,0,2025-05-10 11:45:45
13280,Luke Brown,Engineering,low,509000,0,0.26,0.42,7,223,1,2024-06-24,,0,0,2025-05-10 11:45:45
29657,Curtis Garcia,Marketing,medium,314000,0,0.76,0.93,7,190,3,2022-09-25,,0,0,2025-05-10 11:45:45
31495,James Heath,Sales,medium,483000,1,0.24,0.41,5,127,2,2020-03-02,2021-11-06,0,0,2025-05-10 11:45:45
67237,Jose Combs,Operations,low,211000,0,0.92,0.83,4,150,3,2022-09-08,,0,0,2025-05-10 11:45:45
79907,Michael Le,Marketing,medium,279000,0,0.93,0.58,4,285,2,2023-07-27,,1,0,2025-05-10 11:45:45
4478,Gabrielle Reynolds,Engineering,low,575000,0,0.95,0.54,2,145,3,2022-01-20,,0,0,2025-05-10 11:45:45
74563,Mr. Jeffrey Bailey DVM,Marketing,low,379000,0,0.41,0.8,3,146,2,2023-02-28,,1,0,2025-05-10 11:45:45
27062,Christina Rice,Engineering,medium,542000,0,0.59,0.44,4,150,2,2022-12-07,,0,0,2025-05-10 11:45:45
94850,Nancy Williams,Engineering,low,403000,0,0.95,0.92,3,147,5,2020-07-03,,0,0,2025-05-10 11:45:45
86181,Steven Wallace,Legal,low,387000,0,0.89,0.93,3,120,1,2024-02-25,,0,0,2025-05-10 11:45:45
92924,Brandon Russell MD,Sales,medium,324000,0,0.34,0.18,6,235,3,2022-10-31,,0,0,2025-05-10 11:45:45
72426,April Brooks,Sales,low,434000,0,0.56,0.94,4,142,1,2024-02-27,,0,1,2025-05-10 11:45:45
55987,Richard Perez,Sales,low,274000,0,0.57,0.22,2,146,0,2025-02-06,,0,0,2025-05-10 11:45:45
29893,Patricia Vazquez,Engineering,low,412000,0,0.72,0.45,2,143,3,2022-07-30,,0,0,2025-05-10 11:45:45
59878,Justin Bryant,Operations,medium,178000,0,0.6,0.5,4,138,3,2022-02-10,,0,0,2025-05-10 11:45:45
78236,Michael Johnson,HR,low,284000,0,0.38,0.57,5,239,3,2022-06-18,,1,0,2025-05-10 11:45:45
37463,Brian Vaughn,Sales,high,476000,0,0.48,0.9,2,138,4,2021-06-13,,0,0,2025-05-10 11:45:45
1851,Johnathan Smith,Sales,low,394000,0,0.14,0.77,5,218,5,2020-01-15,,0,0,2025-05-10 11:45:45
21926,Madison Scott,Sales,high,210000,1,0.2,0.88,7,293,1,2019-10-12,2020-10-25,0,0,2025-05-10 11:45:45
92506,John Foster,Legal,high,306000,0,0.51,0.81,4,123,3,2022-07-22,,0,0,2025-05-10 11:45:45
56392,Amy Lee,Sales,low,432000,0,0.23,0.28,4,202,4,2021-01-05,,0,0,2025-05-10 11:45:45
45597,Matthew Brown,Sales,low,382000,0,0.59,0.45,3,145,4,2020-12-20,,0,0,2025-05-10 11:45:45
37421,Christopher Stewart,Sales,low,265000,0,0.83,0.98,2,122,4,2021-10-06,,1,0,2025-05-10 11:45:45
21379,Brenda Jones,Engineering,medium,327000,0,0.9,0.49,3,142,0,2025-04-12,,0,0,2025-05-10 11:45:45
29221,Samantha Pierce,Marketing,low,140000,0,0.44,0.75,4,156,1,2024-10-22,,1,0,2025-05-10 11:45:45
45118,Lynn Espinoza,HR,medium,110000,0,0.68,0.93,3,138,1,2024-10-15,,0,0,2025-05-10 11:45:45
14396,Ashley Smith,Engineering,low,322000,0,0.7,0.52,4,146,4,2021-02-27,,0,0,2025-05-10 11:45:45
13156,Darryl Kelly,Marketing,low,173000,0,0.87,0.87,4,135,5,2020-06-11,,0,0,2025-05-10 11:45:45
50797,Christine Carroll,HR,low,145000,0,0.78,0.92,6,282,2,2023-02-15,,0,1,2025-05-10 11:45:45
13676,Larry Thompson,Legal,low,177000,0,0.72,0.1,4,205,2,2023-03-24,,0,0,2025-05-10 11:45:45
48052,Christopher Quinn,Engineering,high,404000,0,0.73,0.26,4,245,4,2020-12-29,,0,0,2025-05-10 11:45:45
46082,Eric Barnes,Marketing,low,328000,0,0.85,0.6,2,134,0,2025-09-05,,0,0,2025-05-10 11:45:45
80131,Betty Morris,Operations,low,219000,0,0.65,0.5,3,127,2,2023-03-17,,0,0,2025-05-10 11:45:45
35671,Theresa Castaneda,Operations,medium,149000,0,0.6,0.7,2,151,2,2023-02-19,,0,1,2025-05-10 11:45:45
6695,Deborah Richardson,Engineering,medium,476000,0,0.76,0.9,2,134,5,2020-02-04,,0,0,2025-05-10 11:45:45
96647,Andrew Collins,HR,low,264000,0,0.34,0.05,3,304,7,2018-04-24,,0,0,2025-05-10 11:45:45
61217,Daniel Cooper,Sales,medium,345000,0,0.51,0.97,5,269,5,2020-02-26,,0,0,2025-05-10 11:45:45
71284,Kevin Wood,Operations,low,131000,0,0.34,0.89,4,149,8,2017-03-18,,1,0,2025-05-10 11:45:45
17361,John Hanson,Legal,low,285000,1,0.68,0.44,7,301,2,2015-03-18,2017-06-18,0,0,2025-05-10 11:45:45
50615,Angela Richardson,Engineering,medium,457000,0,0.41,0.53,7,246,4,2021-06-11,,0,0,2025-05-10 11:45:45
11328,Sandra Dickson,Marketing,low,444000,0,0.59,0.82,2,142,8,2017-06-06,,0,0,2025-05-10 11:45:45
73357,Vanessa Mendoza,HR,low,291000,0,0.78,0.1,5,192,4,2020-11-21,,0,0,2025-05-10 11:45:45
39427,Joshua Miller,Sales,medium,467000,0,0.68,0.9,4,124,1,2024-07-09,,0,0,2025-05-10 11:45:45
83397,Toni Torres,Sales,low,388000,0,0.72,0.94,2,122,3,2022-03-24,,0,0,2025-05-10 11:45:45
82070,Gabriel Medina,Sales,high,278000,0,0.65,0.46,3,147,2,2023-03-03,,1,0,2025-05-10 11:45:45
48400,Rachel Payne,Marketing,low,271000,0,0.69,0.57,3,128,2,2023-11-01,,0,0,2025-05-10 11:45:45
76674,Debra Figueroa,Engineering,low,490000,0,0.67,0.97,3,144,7,2018-07-12,,0,0,2025-05-10 11:45:45
26203,Brandi Green,Engineering,medium,527000,0,0.99,0.77,6,183,2,2023-08-27,,0,0,2025-05-10 11:45:45
93349,Roger Bennett,Engineering,low,405000,0,0.79,0.47,2,122,6,2019-06-08,,0,0,2025-05-10 11:45:45
10116,Evelyn Williams,Sales,medium,337000,0,0.45,0.1,2,144,1,2024-03-03,,0,0,2025-05-10 11:45:45
7006,Tim Elliott,Legal,medium,389000,0,0.62,0.83,2,147,4,2020-11-24,,0,0,2025-05-10 11:45:45
87673,Hayden Jones,Operations,medium,267000,0,0.63,0.48,3,137,1,2024-09-02,,0,0,2025-05-10 11:45:45
30871,Nancy Peters,Engineering,medium,506000,0,1.0,0.06,2,216,0,2025-10-23,,0,0,2025-05-10 11:45:45
38930,John Brown,Marketing,medium,152000,0,0.96,0.83,2,204,2,2022-12-08,,0,0,2025-05-10 11:45:45
11458,David Kim,Operations,low,332000,0,0.94,0.78,7,170,2,2023-04-21,,0,0,2025-05-10 11:45:45
31512,Eric Chavez,Engineering,high,394000,0,0.89,0.77,6,287,1,2024-09-15,,0,0,2025-05-10 11:45:45
14238,Tracy Williams,Operations,low,269000,0,0.72,0.49,2,147,3,2022-05-04,,1,0,2025-05-10 11:45:45
50823,James Henry,Engineering,high,363000,0,0.93,0.46,2,150,4,2021-03-18,,1,0,2025-05-10 11:45:45
37434,Sean Becker,Engineering,high,205000,0,0.7,0.08,6,244,10,2015-01-22,,0,0,2025-05-10 11:45:45
60429,Paul Kim,Engineering,medium,596000,0,0.06,0.41,6,151,1,2024-01-04,,1,0,2025-05-10 11:45:45
84320,Calvin Colon,Sales,low,278000,0,0.41,0.04,5,226,1,2024-10-28,,0,0,2025-05-10 11:45:45
48819,Nina Avery,Engineering,low,315000,0,0.87,0.55,4,123,9,2016-10-05,,0,0,2025-05-10 11:45:45
22319,Victor Hunt,Engineering,low,437000,0,0.53,0.52,4,145,7,2017-12-04,,0,0,2025-05-10 11:45:45
49520,Rachel Meyer,Operations,low,325000,0,0.89,0.86,5,281,3,2022-03-23,,1,0,2025-05-10 11:45:45
47566,Ashley Calderon,Engineering,low,320000,0,0.66,0.92,4,130,4,2021-04-24,,0,0,2025-05-10 11:45:45
28460,Michael Smith,Marketing,medium,170000,0,0.87,0.01,4,285,0,2025-01-26,,0,0,2025-05-10 11:45:45
88841,William Hughes,Marketing,low,293000,0,0.66,0.65,3,159,3,2022-05-29,,0,0,2025-05-10 11:45:45
35993,Jorge Miller,Marketing,low,362000,0,0.7,0.57,2,133,4,2021-09-17,,0,0,2025-05-10 11:45:45
92988,Robert Williams,Sales,low,437000,0,0.58,0.93,3,131,0,2024-11-29,,0,0,2025-05-10 11:45:45
90593,Kara Miranda,Operations,low,227000,0,0.86,0.87,4,136,8,2017-07-21,,1,0,2025-05-10 11:45:45
85939,Jean Saunders,HR,low,384000,0,0.44,0.55,4,127,2,2023-03-31,,0,0,2025-05-10 11:45:45
10358,Brendan Skinner,HR,medium,385000,0,0.62,0.59,4,128,3,2022-10-22,,0,0,2025-05-10 11:45:45
80840,Nathan Patterson,Marketing,low,123000,0,0.38,0.85,3,295,5,2020-10-01,,1,0,2025-05-10 11:45:45
84227,Suzanne Gonzalez,Sales,medium,260000,0,0.34,0.49,2,131,2,2023-05-30,,0,0,2025-05-10 11:45:45
23431,Julie Mcguire,Engineering,low,206000,0,0.6,0.55,2,141,3,2022-09-25,,0,0,2025-05-10 11:45:45
71010,Diamond Smith,Marketing,low,259000,0,0.47,0.82,4,279,2,2023-09-10,,0,0,2025-05-10 11:45:45
96568,Anne Tate,Marketing,medium,143000,0,0.16,0.27,3,174,1,2024-07-23,,0,0,2025-05-10 11:45:45
33087,Gary Wood,Sales,low,317000,0,0.77,0.5,3,125,4,2021-08-31,,0,0,2025-05-10 11:45:45
22417,Melissa Roberts,Engineering,medium,592000,0,0.35,0.2,2,213,1,2024-03-26,,1,0,2025-05-10 11:45:45
61589,Pamela Williamson,Legal,medium,443000,0,0.36,0.53,3,123,1,2024-04-11,,1,0,2025-05-10 11:45:45
50735,Michael Smith,HR,medium,285000,0,0.8,0.92,2,288,5,2020-01-09,,0,0,2025-05-10 11:45:45
36382,Christine Camacho,Legal,low,236000,1,0.21,0.02,6,204,2,2019-08-15,2021-08-13,0,0,2025-05-10 11:45:45
84886,John Foster,HR,low,174000,0,0.79,0.94,6,141,5,2019-12-06,,1,0,2025-05-10 11:45:45
